Pclass,Sex,Age,Fare,Title,Family_size,Ticket_number,Ticket_prefix_code,Embarked_code
3,0,14.0,11.2417,1,2,2651.0,28,0
3,0,40.0,9.475,2,2,7546.0,28,2
2,0,27.0,21.0,2,2,11668.0,28,2
3,1,29.69911764705882,7.8958,3,1,349253.0,28,0
2,0,3.0,41.5792,1,4,2123.0,19,0
3,0,19.0,7.8792,1,1,330958.0,28,1
3,1,29.69911764705882,8.05,3,1,23567.0,14,2
3,1,29.69911764705882,15.5,3,2,370371.0,28,1
3,0,29.69911764705882,7.75,1,1,14311.0,28,1
3,1,29.69911764705882,21.6792,3,3,2662.0,28,0
3,0,18.0,17.8,2,2,349237.0,28,2
3,1,7.0,39.6875,4,6,3101295.0,28,2
3,1,21.0,7.8,3,1,39886.0,0,2
1,0,49.0,76.7292,2,2,17572.0,10,0
2,0,29.0,26.0,2,2,2926.0,28,2
1,1,65.0,61.9792,3,2,113509.0,28,0
1,1,29.69911764705882,35.5,3,1,19947.0,28,2
2,0,21.0,10.5,1,1,31026.0,4,2
3,1,28.5,7.2292,3,1,2697.0,28,0
2,0,5.0,27.75,1,4,34651.0,4,2
3,1,11.0,46.9,4,8,2144.0,4,2
3,1,22.0,7.2292,3,1,2669.0,28,0
1,1,45.0,83.475,3,2,36973.0,28,2
3,1,4.0,27.9,4,6,347088.0,28,2
1,1,29.69911764705882,27.7208,3,1,17605.0,10,0
3,1,29.69911764705882,15.2458,4,3,2661.0,28,0
2,0,29.0,10.5,2,1,29395.0,4,2
3,1,19.0,8.1583,3,1,3464.0,25,2
3,0,17.0,7.925,1,7,3101281.0,28,2
3,1,26.0,8.6625,3,3,315151.0,28,2
2,1,32.0,10.5,3,1,33111.0,4,2
3,0,16.0,46.9,1,8,2144.0,4,2
2,1,21.0,73.5,3,1,14879.0,20,2
3,1,26.0,14.4542,3,2,2680.0,28,0
3,1,32.0,56.4958,3,1,1601.0,28,2
3,1,25.0,7.65,3,1,348123.0,28,2
3,1,29.69911764705882,7.8958,3,1,349208.0,28,2
3,1,29.69911764705882,8.05,3,1,374746.0,28,2
2,1,0.83,29.0,4,3,248738.0,28,2
3,0,30.0,12.475,1,1,364516.0,28,2
3,1,22.0,9.0,3,1,345767.0,28,2
3,1,29.0,9.5,3,1,345779.0,28,2
3,0,29.69911764705882,7.7875,1,1,330932.0,28,1
1,1,28.0,47.1,3,1,113059.0,28,2
2,0,17.0,10.5,1,1,14885.0,20,2
3,0,33.0,15.85,2,4,3101278.0,28,2
3,1,16.0,34.375,3,5,6608.0,29,2
3,1,29.69911764705882,8.05,3,1,392086.0,24,2
1,0,23.0,263.0,1,6,19950.0,28,2
3,1,24.0,8.05,3,1,343275.0,28,2
3,1,29.0,8.05,3,1,343276.0,28,2
3,1,20.0,7.8542,3,1,347466.0,28,2
1,1,46.0,61.175,3,2,5734.0,30,2
3,1,26.0,20.575,3,4,2315.0,4,2
3,1,59.0,7.25,3,1,364500.0,28,2
3,1,29.69911764705882,8.05,3,1,374910.0,28,2
1,1,71.0,34.6542,3,1,17754.0,10,0
1,1,23.0,63.3583,3,2,17759.0,10,0
2,0,34.0,23.0,2,2,231919.0,28,2
2,1,34.0,26.0,3,2,244367.0,28,2
3,0,28.0,7.8958,1,1,349245.0,28,2
3,1,29.69911764705882,7.8958,3,1,349215.0,28,2
1,1,21.0,77.2875,3,2,35281.0,28,2
3,1,33.0,8.6542,3,1,7540.0,28,2
3,1,37.0,7.925,3,3,3101276.0,28,2
3,1,28.0,7.8958,3,1,349207.0,28,2
3,0,21.0,7.65,1,1,343120.0,28,2
3,1,29.69911764705882,7.775,3,1,312991.0,28,2
3,1,38.0,7.8958,3,1,349249.0,28,2
3,0,29.69911764705882,24.15,1,2,371110.0,28,1
1,1,47.0,52.0,3,1,110465.0,28,2
3,0,14.5,14.4542,1,2,2665.0,28,0
3,1,22.0,8.05,3,1,324669.0,28,2
3,0,20.0,9.825,1,2,4136.0,28,2
3,0,17.0,14.4583,1,1,2627.0,28,0
3,1,21.0,7.925,3,1,3101294.0,26,2
3,1,70.5,7.75,3,1,370369.0,28,1
2,1,29.0,21.0,3,2,11668.0,28,2
1,1,24.0,247.5208,3,2,17558.0,10,0
3,0,2.0,31.275,1,7,347082.0,28,2
2,1,21.0,73.5,3,3,14879.0,20,2
3,1,29.69911764705882,8.05,3,1,54510.0,0,2
2,1,32.5,30.0708,3,2,237736.0,28,0
2,0,32.5,13.0,1,1,27267.0,28,2
1,1,54.0,77.2875,3,2,35281.0,28,2
3,1,12.0,11.2417,4,2,2651.0,28,0
3,1,29.69911764705882,7.75,3,1,370372.0,28,1
3,1,24.0,7.1417,3,1,17369.0,3,2
3,0,29.69911764705882,22.3583,1,3,2668.0,28,0
3,1,45.0,6.975,3,1,347061.0,28,2
3,1,33.0,7.8958,3,1,349241.0,28,0
3,1,20.0,7.05,3,1,3101307.0,24,2
3,0,47.0,14.5,2,2,3337.0,1,2
2,0,29.0,26.0,2,2,228414.0,28,2
2,1,25.0,13.0,3,1,29178.0,4,2
2,1,23.0,15.0458,3,1,2133.0,18,0
1,0,19.0,26.2833,1,3,11752.0,28,2
1,1,37.0,53.1,3,2,113803.0,28,2
3,1,16.0,9.2167,3,1,7534.0,28,2
1,1,24.0,79.2,3,1,17593.0,10,0
3,0,29.69911764705882,15.2458,2,3,2678.0,28,0
3,0,22.0,7.75,1,1,347081.0,28,2
3,0,24.0,15.85,2,2,3101279.0,26,2
3,1,19.0,6.75,3,1,365222.0,28,1
2,1,18.0,11.5,3,1,231945.0,28,2
2,1,19.0,36.75,3,3,33112.0,4,2
3,1,27.0,7.7958,3,1,350043.0,28,2
3,0,9.0,34.375,1,5,6608.0,29,2
2,1,36.5,26.0,3,3,230080.0,28,2
2,1,42.0,13.0,0,1,244310.0,28,2
2,1,51.0,12.525,0,1,1166.0,21,2
1,0,22.0,66.6,2,2,113776.0,28,2
3,1,55.5,8.05,3,1,11206.0,1,2
3,1,40.5,14.5,3,3,851.0,1,2
3,1,29.69911764705882,7.3125,3,1,265302.0,8,2
1,1,51.0,61.3792,3,2,17597.0,10,0
3,0,16.0,7.7333,1,1,35851.0,28,1
3,1,30.0,8.05,3,1,392090.0,24,2
3,1,29.69911764705882,8.6625,3,1,315037.0,28,2
3,1,29.69911764705882,69.55,4,11,2343.0,4,2
3,1,44.0,16.1,3,2,371362.0,28,2
2,0,40.0,15.75,2,1,33595.0,4,2
3,1,26.0,7.775,3,1,347068.0,28,2
3,1,17.0,8.6625,3,1,315093.0,28,2
3,1,1.0,39.6875,4,6,3101295.0,28,2
3,1,9.0,20.525,4,3,363291.0,28,2
1,0,29.69911764705882,55.0,2,2,113505.0,28,2
3,0,45.0,27.9,2,6,347088.0,28,2
1,1,29.69911764705882,25.925,3,1,17318.0,10,2
3,1,28.0,56.4958,3,1,1601.0,28,2
1,1,61.0,33.5,3,1,111240.0,28,2
3,1,4.0,29.125,4,6,382652.0,28,1
3,0,1.0,11.1333,1,3,347742.0,28,2
3,1,21.0,7.925,3,1,3101280.0,26,2
1,1,56.0,30.6958,3,1,17764.0,28,0
3,1,18.0,7.8542,3,3,350404.0,28,2
3,1,29.69911764705882,25.4667,4,5,4133.0,28,2
1,0,50.0,28.7125,1,1,17595.0,10,0
2,1,30.0,13.0,3,1,250653.0,28,2
3,0,29.69911764705882,69.55,1,11,2343.0,4,2
2,1,29.69911764705882,15.05,3,1,2131.0,18,0
3,1,9.0,31.3875,4,7,347077.0,28,2
2,1,1.0,39.0,4,4,230136.0,28,2
3,0,4.0,22.025,1,3,315153.0,28,2
1,1,29.69911764705882,50.0,3,1,113767.0,28,2
3,0,29.69911764705882,15.5,2,2,370365.0,28,1
1,1,45.0,26.55,3,1,111428.0,28,2
3,1,40.0,15.5,3,3,364849.0,28,1
3,1,36.0,7.8958,3,1,349247.0,28,2
2,0,32.0,13.0,2,1,234604.0,28,2
2,1,19.0,13.0,3,1,28424.0,28,2
3,0,19.0,7.8542,1,2,350046.0,28,2
2,1,3.0,26.0,4,3,230080.0,28,2
1,0,44.0,27.7208,2,1,17610.0,10,0
1,0,58.0,146.5208,1,1,17569.0,10,0
3,1,29.69911764705882,7.75,3,1,368703.0,28,1
3,1,42.0,8.4042,3,2,4579.0,28,2
3,0,29.69911764705882,7.75,1,1,370370.0,28,1
2,0,24.0,13.0,1,1,248747.0,28,2
3,1,28.0,9.5,3,1,345770.0,28,2
3,1,29.69911764705882,69.55,3,11,2343.0,4,2
3,1,34.0,6.4958,3,1,3101264.0,28,2
3,1,45.5,7.225,3,1,2628.0,28,0
3,1,18.0,8.05,3,1,3540.0,1,2
3,0,2.0,10.4625,1,2,347054.0,28,2
3,1,32.0,15.85,3,2,3101278.0,28,2
3,1,26.0,18.7875,3,1,2699.0,28,0
3,0,16.0,7.75,1,1,367231.0,28,1
1,1,40.0,31.0,3,1,112277.0,28,0
3,1,24.0,7.05,3,1,3101311.0,24,2
2,0,35.0,21.0,1,1,13528.0,7,2
3,1,22.0,7.25,3,1,21174.0,1,2
2,1,30.0,13.0,3,1,250646.0,28,2
3,1,29.69911764705882,7.75,3,2,367229.0,28,1
1,0,31.0,113.275,1,2,35273.0,28,0
3,0,27.0,7.925,1,1,3101283.0,26,2
2,1,42.0,27.0,3,2,243847.0,28,2
1,0,32.0,76.2917,1,1,11813.0,28,0
2,1,30.0,10.5,3,1,14208.0,29,2
3,1,16.0,8.05,3,1,392089.0,24,2
2,1,27.0,13.0,3,1,220367.0,28,2
3,1,51.0,8.05,3,1,21440.0,28,2
3,1,29.69911764705882,7.8958,3,1,349234.0,28,2
1,1,38.0,90.0,3,2,19943.0,28,2
3,1,22.0,9.35,3,1,4348.0,11,2
2,1,19.0,10.5,3,1,751.0,27,2
3,1,20.5,7.25,3,1,21173.0,1,2
2,1,18.0,13.0,3,1,236171.0,28,2
3,0,29.69911764705882,25.4667,1,5,4133.0,28,2
1,0,35.0,83.475,2,2,36973.0,28,2
3,1,29.0,7.775,3,1,347067.0,28,2
2,1,59.0,13.5,3,1,237442.0,28,2
3,0,5.0,31.3875,1,7,347077.0,28,2
2,1,24.0,10.5,3,1,29566.0,4,2
3,0,29.69911764705882,7.55,1,1,6609.0,29,2
2,1,44.0,26.0,3,2,26707.0,28,2
2,0,8.0,26.25,1,3,31921.0,4,2
2,1,19.0,10.5,3,1,28665.0,28,2
2,1,33.0,12.275,3,1,1585.0,17,2
3,0,29.69911764705882,14.4542,1,2,2665.0,28,0
3,0,29.69911764705882,15.5,1,2,367230.0,28,1
2,1,29.0,10.5,3,1,14263.0,29,2
3,1,22.0,7.125,3,1,3101275.0,26,2
3,1,30.0,7.225,3,1,2694.0,28,0
1,1,44.0,90.0,0,3,19928.0,28,1
3,0,25.0,7.775,1,1,347071.0,28,2
2,0,24.0,14.5,2,3,250649.0,28,2
1,1,37.0,52.5542,3,3,11751.0,28,2
2,1,54.0,26.0,0,2,244252.0,28,2
3,1,29.69911764705882,7.25,3,1,362316.0,28,2
3,0,29.0,10.4625,2,3,347054.0,28,2
1,1,62.0,26.55,3,1,113514.0,28,2
3,1,30.0,16.1,3,2,3336.0,1,2
3,0,41.0,20.2125,2,3,370129.0,28,2
3,0,29.0,15.2458,2,3,2650.0,28,0
1,0,29.69911764705882,79.2,2,1,17585.0,10,0
1,0,30.0,86.5,1,1,110152.0,28,2
1,0,35.0,512.3292,1,1,17755.0,10,0
2,0,50.0,26.0,2,2,230433.0,28,2
3,1,29.69911764705882,7.75,3,1,384461.0,28,1
3,1,3.0,31.3875,4,7,347077.0,28,2
1,1,52.0,79.65,3,3,110413.0,28,2
1,1,40.0,0.0,3,1,112059.0,28,2
3,0,29.69911764705882,7.75,1,1,382649.0,28,1
2,1,36.0,10.5,3,1,17248.0,4,2
3,1,16.0,39.6875,3,6,3101295.0,28,2
3,1,25.0,7.775,3,2,347083.0,28,2
1,0,58.0,153.4625,2,2,17582.0,10,2
1,0,35.0,135.6333,1,1,17760.0,10,2
1,1,29.69911764705882,31.0,3,1,113798.0,28,2
2,0,41.0,19.5,2,2,250644.0,28,2
1,1,37.0,29.7,3,2,17596.0,10,0
3,0,29.69911764705882,7.75,1,1,370375.0,28,1
1,0,63.0,77.9583,1,2,13502.0,28,2
3,0,45.0,7.75,1,1,347073.0,28,2
2,1,29.69911764705882,0.0,3,1,239853.0,28,2
3,1,7.0,29.125,4,6,382652.0,28,1
3,0,35.0,20.25,2,3,2673.0,4,2
3,1,65.0,7.75,3,1,336439.0,28,1
3,1,28.0,7.8542,3,1,347464.0,28,2
3,1,16.0,9.5,3,1,345778.0,28,2
3,1,19.0,8.05,3,1,10482.0,1,2
1,1,29.69911764705882,26.0,3,1,113056.0,28,2
3,1,33.0,8.6625,3,1,349239.0,28,0
3,1,30.0,9.5,3,1,345774.0,28,2
3,1,22.0,7.8958,3,1,349206.0,28,2
2,1,42.0,13.0,3,1,237798.0,28,2
3,0,22.0,7.75,1,1,370373.0,28,1
1,0,26.0,78.85,1,1,19877.0,28,2
1,0,19.0,91.0792,2,2,11967.0,28,0
2,1,36.0,12.875,3,1,2163.0,19,0
3,0,24.0,8.85,1,1,349236.0,28,2
3,1,24.0,7.8958,3,1,349233.0,28,2
1,1,29.69911764705882,27.7208,3,1,17612.0,10,0
3,1,23.5,7.2292,3,1,2693.0,28,0
1,0,2.0,151.55,1,4,113781.0,28,2
1,1,29.69911764705882,30.5,3,1,19988.0,28,2
1,0,50.0,247.5208,2,2,17558.0,10,0
3,0,29.69911764705882,7.75,1,1,9234.0,28,1
3,1,29.69911764705882,23.25,3,3,367226.0,28,1
2,0,29.69911764705882,12.35,1,1,226593.0,28,1
3,1,29.69911764705882,8.05,3,1,2466.0,1,2
1,1,0.92,151.55,4,4,113781.0,28,2
1,0,29.69911764705882,110.8833,1,1,17421.0,28,0
1,0,17.0,108.9,2,2,17758.0,10,0
2,1,30.0,24.0,3,2,3381.0,12,0
1,0,30.0,56.9292,1,1,17485.0,10,0
1,0,24.0,83.1583,1,1,11767.0,28,0
1,0,18.0,262.375,1,5,17608.0,10,0
2,0,26.0,26.0,2,3,250651.0,28,2
3,1,28.0,7.8958,3,1,349243.0,28,2
2,1,43.0,26.25,3,3,13529.0,7,2
3,0,26.0,7.8542,1,1,347470.0,28,2
2,0,24.0,26.0,2,2,244367.0,28,2
2,1,54.0,14.0,0,1,29011.0,28,2
1,0,31.0,164.8667,1,3,36928.0,28,2
1,0,40.0,134.5,2,3,16966.0,28,0
3,1,22.0,7.25,3,1,21172.0,1,2
3,1,27.0,7.8958,3,1,349219.0,28,2
2,0,30.0,12.35,1,1,234818.0,28,1
2,0,22.0,29.0,2,3,248738.0,28,2
3,1,29.69911764705882,69.55,3,11,2343.0,4,2
1,0,36.0,135.6333,1,1,17760.0,10,0
3,1,61.0,6.2375,3,1,345364.0,28,2
2,0,36.0,13.0,2,1,28551.0,28,2
3,0,31.0,20.525,2,3,363291.0,28,2
1,0,16.0,57.9792,1,2,111361.0,28,0
3,0,29.69911764705882,23.25,1,3,367226.0,28,1
1,1,45.5,28.5,3,1,113043.0,28,2
1,1,38.0,153.4625,3,2,17582.0,10,2
3,1,16.0,18.0,3,3,345764.0,28,2
1,0,29.69911764705882,133.65,2,2,17611.0,10,2
3,1,29.69911764705882,7.8958,3,1,349225.0,28,2
1,1,29.0,66.6,3,2,113776.0,28,2
1,0,41.0,134.5,1,1,16966.0,28,0
3,1,45.0,8.05,3,1,7598.0,28,2
1,1,45.0,35.5,3,1,113784.0,28,2
2,1,2.0,26.0,4,3,230080.0,28,2
1,0,24.0,263.0,1,6,19950.0,28,2
2,1,28.0,13.0,3,1,248740.0,28,2
2,1,25.0,13.0,3,1,244361.0,28,2
2,1,36.0,13.0,3,1,229236.0,28,2
2,0,24.0,13.0,1,1,248733.0,28,2
2,0,40.0,13.0,1,1,31418.0,28,2
3,0,29.69911764705882,16.1,2,2,386525.0,28,2
3,1,3.0,15.9,4,3,37671.0,4,2
3,1,42.0,8.6625,3,1,315088.0,28,2
3,1,23.0,9.225,3,1,7267.0,28,2
1,1,29.69911764705882,35.0,3,1,113510.0,28,2
3,1,15.0,7.2292,3,3,2695.0,28,0
3,1,25.0,17.8,3,2,349237.0,28,2
3,1,29.69911764705882,7.225,3,1,2647.0,28,0
3,1,28.0,9.5,3,1,345783.0,28,2
1,0,22.0,55.0,1,2,113505.0,28,2
2,0,38.0,13.0,1,1,237671.0,28,2
3,0,29.69911764705882,7.8792,1,1,330931.0,28,1
3,0,29.69911764705882,7.8792,1,1,330980.0,28,1
3,1,40.0,27.9,3,6,347088.0,28,2
2,1,29.0,27.7208,3,2,2167.0,18,0
3,0,45.0,14.4542,2,2,2691.0,28,0
3,1,35.0,7.05,3,1,3101310.0,24,2
3,1,29.69911764705882,15.5,3,2,370365.0,28,1
3,1,30.0,7.25,3,1,7076.0,3,2
1,0,60.0,75.25,2,2,110813.0,28,0
3,0,29.69911764705882,7.2292,2,1,2626.0,28,0
3,0,29.69911764705882,7.75,1,1,14313.0,28,1
1,0,24.0,69.3,2,1,17477.0,10,0
1,1,25.0,55.4417,3,2,11765.0,28,0
3,1,18.0,6.4958,3,2,3101267.0,28,2
3,1,19.0,8.05,3,1,323951.0,28,2
1,1,22.0,135.6333,3,1,17760.0,10,0
3,0,3.0,21.075,1,5,349909.0,28,2
1,0,29.69911764705882,82.1708,2,2,17604.0,10,0
3,0,22.0,7.25,1,1,7077.0,3,2
1,1,27.0,211.5,3,3,113503.0,28,0
3,1,20.0,4.0125,3,1,2648.0,28,0
3,1,19.0,7.775,3,1,347069.0,28,2
1,0,42.0,227.525,1,1,17757.0,10,0
3,0,1.0,15.7417,1,3,2653.0,28,0
3,1,32.0,7.925,3,1,3101293.0,26,2
1,0,35.0,52.0,2,2,113789.0,28,2
3,1,29.69911764705882,7.8958,3,1,349227.0,28,2
2,1,18.0,73.5,3,1,14879.0,20,2
3,1,1.0,46.9,4,8,2144.0,4,2
2,0,36.0,13.0,1,1,27849.0,28,2
3,1,29.69911764705882,7.7292,3,1,367655.0,28,1
2,0,17.0,12.0,1,1,1748.0,13,0
1,1,36.0,120.0,3,4,113760.0,28,2
3,1,21.0,7.7958,3,1,350034.0,28,2
3,1,28.0,7.925,3,3,3101277.0,28,2
1,0,23.0,113.275,1,2,35273.0,28,0
3,0,24.0,16.7,2,3,9549.0,11,2
3,1,22.0,7.7958,3,1,350052.0,28,2
3,0,31.0,7.8542,1,1,350407.0,28,2
2,1,46.0,26.0,3,1,28403.0,28,2
2,1,23.0,10.5,0,1,244278.0,28,2
2,0,28.0,12.65,2,1,240929.0,28,2
3,1,39.0,7.925,3,1,3101289.0,26,2
3,1,26.0,8.05,3,1,341826.0,28,2
3,0,21.0,9.825,1,2,4137.0,28,2
3,1,28.0,15.85,3,2,3101279.0,26,2
3,0,20.0,8.6625,1,1,315096.0,28,2
2,1,34.0,21.0,3,2,28664.0,28,2
3,1,51.0,7.75,3,1,347064.0,28,2
2,1,3.0,18.75,4,3,29106.0,28,2
3,1,21.0,7.775,3,1,312992.0,28,2
3,0,29.69911764705882,25.4667,1,5,4133.0,28,2
3,1,29.69911764705882,7.8958,3,1,349222.0,28,2
3,1,29.69911764705882,6.8583,3,1,394140.0,28,1
1,0,33.0,90.0,1,2,19928.0,28,1
2,1,29.69911764705882,0.0,3,1,239853.0,28,2
3,1,44.0,7.925,3,1,3101269.0,26,2
3,0,29.69911764705882,8.05,2,1,343095.0,28,2
2,0,34.0,32.5,2,3,28220.0,28,2
2,0,18.0,13.0,1,3,250652.0,28,2
2,1,30.0,13.0,3,1,28228.0,28,2
3,0,10.0,24.15,1,3,345773.0,28,2
3,1,29.69911764705882,7.8958,3,1,349254.0,28,0
3,1,21.0,7.7333,3,1,13032.0,1,1
3,1,29.0,7.875,3,1,315082.0,28,2
3,0,28.0,14.4,2,3,347080.0,28,2
3,1,18.0,20.2125,3,3,370129.0,28,2
3,1,29.69911764705882,7.25,3,1,34244.0,0,2
2,0,28.0,26.0,2,2,2003.0,28,2
2,0,19.0,26.0,1,1,250655.0,28,2
3,1,29.69911764705882,7.75,3,1,364851.0,28,1
3,1,32.0,8.05,3,1,392078.0,24,2
1,1,28.0,26.55,3,1,110564.0,28,2
3,0,29.69911764705882,16.1,2,2,376564.0,28,2
2,0,42.0,26.0,2,2,3085.0,15,2
3,1,17.0,7.125,3,1,3101274.0,26,2
1,1,50.0,55.9,3,2,13507.0,28,2
1,0,14.0,120.0,1,4,113760.0,28,2
3,0,21.0,34.375,1,5,6608.0,29,2
2,0,24.0,18.75,2,6,29106.0,28,2
1,1,64.0,263.0,3,6,19950.0,28,2
2,1,31.0,10.5,3,1,18723.0,4,2
2,0,45.0,26.25,2,3,13529.0,7,2
3,1,20.0,9.5,3,1,345769.0,28,2
3,1,25.0,7.775,3,2,347076.0,28,2
2,0,28.0,13.0,1,1,230434.0,28,2
3,1,29.69911764705882,8.1125,3,1,65306.0,28,2
1,1,4.0,81.8583,4,3,33638.0,28,2
2,0,13.0,19.5,1,2,250644.0,28,2
1,1,34.0,26.55,3,1,113794.0,28,2
3,0,5.0,19.2583,1,4,2666.0,28,0
1,1,52.0,30.5,0,1,113786.0,28,2
2,1,36.0,27.75,3,4,34651.0,4,2
3,1,29.69911764705882,19.9667,3,2,65303.0,28,2
1,1,30.0,27.75,3,1,113051.0,28,0
1,1,49.0,89.1042,3,2,17453.0,28,0
3,1,29.69911764705882,8.05,3,1,2817.0,1,2
3,1,29.0,7.8958,3,1,349240.0,28,0
1,1,65.0,26.55,3,1,13509.0,28,2
1,0,29.69911764705882,51.8625,2,2,17464.0,28,2
2,0,50.0,10.5,1,1,13531.0,7,2
3,1,29.69911764705882,7.75,3,1,371060.0,28,1
1,1,48.0,26.55,3,1,19952.0,28,2
3,1,34.0,8.05,3,1,364506.0,28,2
1,1,47.0,38.5,3,1,111320.0,28,2
2,1,48.0,13.0,3,1,234360.0,28,2
3,1,29.69911764705882,8.05,3,1,2816.0,2,2
3,1,38.0,7.05,3,1,3101306.0,24,2
2,1,29.69911764705882,0.0,3,1,239853.0,28,2
1,1,56.0,26.55,3,1,113792.0,28,2
3,1,29.69911764705882,7.725,3,1,36209.0,28,1
3,0,0.75,19.2583,1,4,2666.0,28,0
3,1,29.69911764705882,7.25,3,1,323592.0,28,2
3,1,38.0,8.6625,3,1,315089.0,28,2
2,0,33.0,27.75,2,4,34651.0,4,2
2,0,23.0,13.7917,2,1,541.0,16,0
3,0,22.0,9.8375,1,1,7553.0,28,2
1,1,29.69911764705882,52.0,3,1,110465.0,28,2
2,1,34.0,21.0,3,2,31027.0,28,2
3,1,29.0,7.0458,3,2,3460.0,28,2
3,1,22.0,7.5208,3,1,350060.0,28,2
3,0,2.0,12.2875,1,2,3101298.0,28,2
3,1,9.0,46.9,4,8,2144.0,4,2
2,1,29.69911764705882,0.0,3,1,239854.0,28,2
3,1,50.0,8.05,3,1,3594.0,1,2
3,0,63.0,9.5875,2,1,4134.0,28,2
1,1,25.0,91.0792,3,2,11967.0,28,0
3,0,29.69911764705882,25.4667,1,5,4133.0,28,2
1,0,35.0,90.0,2,2,19943.0,28,2
1,1,58.0,29.7,3,1,11771.0,28,0
3,1,30.0,8.05,3,1,18509.0,1,2
3,1,9.0,15.9,4,3,37671.0,4,2
3,1,29.69911764705882,19.9667,3,2,65304.0,28,2
3,1,21.0,7.25,3,1,3101317.0,24,2
1,1,55.0,30.5,3,1,113787.0,28,2
1,1,71.0,49.5042,3,1,17609.0,10,0
3,1,21.0,8.05,3,1,45380.0,0,2
3,1,29.69911764705882,14.4583,3,1,2627.0,28,0
1,0,54.0,78.2667,1,2,36947.0,28,0
3,1,29.69911764705882,15.1,3,1,6212.0,4,2
1,0,25.0,151.55,2,4,113781.0,28,2
3,1,24.0,7.7958,3,1,350035.0,28,2
3,1,17.0,8.6625,3,1,315086.0,28,2
3,0,21.0,7.75,1,1,364846.0,28,1
3,0,29.69911764705882,7.6292,1,1,330909.0,28,1
3,0,37.0,9.5875,1,1,4135.0,28,2
1,0,16.0,86.5,1,1,110152.0,28,2
1,1,18.0,108.9,3,2,17758.0,10,0
2,0,33.0,26.0,2,3,26360.0,28,2
1,1,29.69911764705882,26.55,3,1,111427.0,28,2
3,1,28.0,22.525,3,1,4001.0,3,2
3,1,26.0,56.4958,3,1,1601.0,28,2
3,1,29.0,7.75,3,1,382651.0,28,1
3,1,29.69911764705882,8.05,3,1,3101316.0,24,2
1,1,36.0,26.2875,3,1,17473.0,10,2
1,0,54.0,59.4,2,2,17603.0,10,0
3,1,24.0,7.4958,3,1,349209.0,28,2
1,1,47.0,34.0208,3,1,36967.0,28,2
2,0,34.0,10.5,2,1,34260.0,4,2
3,1,29.69911764705882,24.15,3,1,371110.0,28,1
2,0,36.0,26.0,2,2,226875.0,28,2
3,1,32.0,7.8958,3,1,349242.0,28,2
1,0,30.0,93.5,1,1,12749.0,28,2
3,1,22.0,7.8958,3,1,349252.0,28,2
3,1,29.69911764705882,7.225,3,1,2624.0,28,0
1,0,44.0,57.9792,2,2,111361.0,28,0
3,1,29.69911764705882,7.2292,3,1,2700.0,28,0
3,1,40.5,7.75,3,1,367232.0,28,1
2,0,50.0,10.5,1,1,14258.0,29,2
1,1,29.69911764705882,221.7792,3,1,17483.0,10,2
3,1,39.0,7.925,3,1,3101296.0,28,2
2,1,23.0,11.5,3,4,29104.0,28,2
2,0,2.0,26.0,1,3,26360.0,28,2
3,1,29.69911764705882,7.2292,3,1,2641.0,28,0
3,1,17.0,7.2292,3,3,2690.0,28,0
3,0,29.69911764705882,22.3583,2,3,2668.0,28,0
